序号,案件组ID,文书唯一ID,省份,城市,区县,发布机关,稽查机构,当事人名称,统一社会信用代码,法定代表人,文书类型,决定书文号,关联处理决定书文号,关联处罚决定书文号,主要违法事实,涉及税种,追缴税款金额,滞纳金金额,罚款金额,没收违法所得金额,处理或处罚结果,决定书作出日期,官方发布日期,第三方收录日期,首次发现日期,最后核验日期,公开完整度,来源级别,核验状态,官方原文链接,附件链接,备用来源链接,页面标题,页面当前状态,备注
114,CASE-aaf4fb329bee0ac0,DOC-3d039b043ff184e8,云南省,西双版纳傣族自治州,,国家税务总局西双版纳傣族自治州税务局第一稽查局,国家税务总局西双版纳傣族自治州税务局第一稽查局,景洪市瑞运机动车经营部,92532801MADNRB5HX4,,税务处理决定书,西税稽处〔2026〕38号,西税稽处〔2026〕38号,,,,,,,,,,2026-08-20,,2026-08-24,2026-08-26,仅公告送达/仅文号线索,税务机关官网,已核验,https://yunnan.chinatax.gov.cn/art/2026/8/20/art_3978_90762.html,https://yunnan.chinatax.gov.cn/module/download/downfile.jsp?classid=0&filename=a538ce1b763e4efdb3d2805259db0981.pdf,,国家税务总局云南省税务局 通知公告 国家税务总局西双版纳傣族自治州税务局稽查局税务文书送达公告西税稽公告〔2026〕25号,附件正常,Excel 与 CSV 历史数据已合并核对。
80,CASE-d03b3cbfab39c94a,DOC-c210fa50838d9e92,广西壮族自治区,崇左市,,国家税务总局崇左市税务局,国家税务总局崇左市税务局稽查局,广西崇左宜瑞达物资有限公司,91451402MAEN47CA2R,,税务处理决定书,崇市税稽处〔2026〕9号,崇市税稽处〔2026〕9号,崇市税稽罚〔2026〕4号,,,,,,,,,2026-08-19,,2026-08-20,2026-08-26,仅公告送达/仅文号线索,税务机关官网,已核验,https://guangxi.chinatax.gov.cn/chongzuo/xxgk_15621/swjcgg/202608/t20260820_438837.html,https://guangxi.chinatax.gov.cn/chongzuo/xxgk_15621/swjcgg/202608/P020260820361240756171.DOC,,国家税务总局崇左市税务局稽查局税务文书送达公告_国家税务总局崇左市税务局,附件正常,Excel 与 CSV 历史数据已合并核对。
81,CASE-d03b3cbfab39c94a,DOC-13a37f5d738a78be,广西壮族自治区,崇左市,,国家税务总局崇左市税务局,国家税务总局崇左市税务局稽查局,广西崇左宜瑞达物资有限公司,91451402MAEN47CA2R,,税务行政处罚决定书,崇市税稽罚〔2026〕4号,崇市税稽处〔2026〕9号,崇市税稽罚〔2026〕4号,,,,,,,,,2026-08-19,,2026-08-20,2026-08-26,仅公告送达/仅文号线索,税务机关官网,已核验,https://guangxi.chinatax.gov.cn/chongzuo/xxgk_15621/swjcgg/202608/t20260820_438837.html,https://guangxi.chinatax.gov.cn/chongzuo/xxgk_15621/swjcgg/202608/P020260820361240805029.doc,,国家税务总局崇左市税务局稽查局税务文书送达公告_国家税务总局崇左市税务局,附件正常,Excel 与 CSV 历史数据已合并核对。
82,CASE-55a12c21d9caca5d,DOC-a28cbf7b25b44cf0,广西壮族自治区,河池市,,国家税务总局河池市税务局第二稽查局,国家税务总局河池市税务局第二稽查局,广西枧闫建材有限公司,91451221MAK71GJL1B,,税务处理决定书,河市税二稽处〔2026〕15号,河市税二稽处〔2026〕15号,河市税二稽罚〔2026〕8号,,,,,,,,,2026-08-19,,2026-08-20,2026-08-26,仅公告送达/仅文号线索,税务机关官网,已核验,https://guangxi.chinatax.gov.cn/hechi/tzgg_15562/tzgg_15563/202608/t20260819_438798.html,https://guangxi.chinatax.gov.cn/hechi/tzgg_15562/tzgg_15563/202608/P020260819387097637755.doc,,国家税务总局河池市税务局第二稽查局税务文书送达公告(河市税二稽公告〔2026〕41号)_国家税务总局河池市税务局,附件正常,Excel 与 CSV 历史数据已合并核对。
83,CASE-55a12c21d9caca5d,DOC-2490775af8d77f70,广西壮族自治区,河池市,,国家税务总局河池市税务局第二稽查局,国家税务总局河池市税务局第二稽查局,广西枧闫建材有限公司,91451221MAK71GJL1B,,税务行政处罚决定书,河市税二稽罚〔2026〕8号,河市税二稽处〔2026〕15号,河市税二稽罚〔2026〕8号,,,,,,,,,2026-08-19,,2026-08-20,2026-08-26,仅公告送达/仅文号线索,税务机关官网,已核验,https://guangxi.chinatax.gov.cn/hechi/tzgg_15562/tzgg_15563/202608/t20260819_438798.html,https://guangxi.chinatax.gov.cn/hechi/tzgg_15562/tzgg_15563/202608/P020260819387097669062.doc,,国家税务总局河池市税务局第二稽查局税务文书送达公告(河市税二稽公告〔2026〕41号)_国家税务总局河池市税务局,附件正常,Excel 与 CSV 历史数据已合并核对。
74,CASE-7a79d43928651c18,DOC-8109412153b5e636,贵州省,贵阳市,云岩区,国家税务总局贵阳市税务局第一稽查局,国家税务总局贵阳市税务局第一稽查局,马岚,,,税务处理决定书,筑税一稽处〔2026〕25号,筑税一稽处〔2026〕25号,,,个人所得税,27465.72,,,,,,2026-08-19,,2026-08-20,2026-08-26,完整文书,税务机关官网,已核验,https://guizhou.chinatax.gov.cn/sjpd/gys/tzgg_59631/202608/t20260819_90745872.html,,,国家税务总局贵阳市税务局第一稽查局《税务处理决定书》送达公告,正常,Excel 与 CSV 历史数据已合并核对。
87,CASE-d59330905cbca7fa,DOC-8ccaad40891a4710,辽宁省,大连市,,国家税务总局大连市税务局第一稽查局,国家税务总局大连市税务局第一稽查局,大连启林能源有限公司,91210244MA0Y78KL7X,,税务处理决定书,大税一稽处〔2026〕58号,大税一稽处〔2026〕58号,大税一稽罚〔2026〕24号,,,,,,,,,2026-08-19,,2026-08-20,2026-08-26,仅公告送达/仅文号线索,税务机关官网,已核验,http://dalian.chinatax.gov.cn/art/2026/8/19/art_1715_707491.html,,,国家税务总局大连市税务局 通知公告 国家税务总局大连市税务局第一稽查局税务文书送达公告(2026年第49号),正常,Excel 与 CSV 历史数据已合并核对。
116,CASE-d59330905cbca7fa,DOC-17f65fd48e1ea1be,辽宁省,大连市,,国家税务总局大连市税务局第一稽查局,国家税务总局大连市税务局第一稽查局,大连启林能源有限公司,91210244MA0Y78KL7X,,税务行政处罚决定书,大税一稽罚〔2026〕24号,大税一稽处〔2026〕58号,大税一稽罚〔2026〕24号,,,,,,,,,2026-08-19,,2026-08-24,2026-08-26,仅公告送达/仅文号线索,税务机关官网,已核验,http://dalian.chinatax.gov.cn/art/2026/8/19/art_1715_707491.html,,,国家税务总局大连市税务局 通知公告 国家税务总局大连市税务局第一稽查局税务文书送达公告(2026年第49号),正常,Excel 与 CSV 历史数据已合并核对。
88,CASE-531155831112a331,DOC-dc3d41a23eef7bd4,辽宁省,大连市,,国家税务总局大连市税务局第一稽查局,国家税务总局大连市税务局第一稽查局,普兰店区正初物流货运服务中心,92210282MABMFY6L19,,税务处理决定书,大税一稽处〔2026〕59号,大税一稽处〔2026〕59号,大税一稽罚〔2026〕25号,,,,,,,,,2026-08-19,,2026-08-20,2026-08-26,仅公告送达/仅文号线索,税务机关官网,已核验,http://dalian.chinatax.gov.cn/art/2026/8/19/art_1715_707494.html,,,国家税务总局大连市税务局 通知公告 国家税务总局大连市税务局第一稽查局税务文书送达公告(2026年第50号),正常,Excel 与 CSV 历史数据已合并核对。
117,CASE-531155831112a331,DOC-5328660accad1cea,辽宁省,大连市,,国家税务总局大连市税务局第一稽查局,国家税务总局大连市税务局第一稽查局,普兰店区正初物流货运服务中心,92210282MABMFY6L19,,税务行政处罚决定书,大税一稽罚〔2026〕25号,大税一稽处〔2026〕59号,大税一稽罚〔2026〕25号,,,,,,,,,2026-08-19,,2026-08-24,2026-08-26,仅公告送达/仅文号线索,税务机关官网,已核验,http://dalian.chinatax.gov.cn/art/2026/8/19/art_1715_707494.html,,,国家税务总局大连市税务局 通知公告 国家税务总局大连市税务局第一稽查局税务文书送达公告(2026年第50号),正常,Excel 与 CSV 历史数据已合并核对。
79,CASE-c69d1bcd25ca950c,DOC-867709a55be5ef94,福建省,福州市,,国家税务总局福州市税务局第一稽查局,国家税务总局福州市税务局第一稽查局,福州信源行贸易有限责任公司,91350104MA8TLQ3Q5L,,税务处理决定书,榕税一稽处〔2026〕184号,榕税一稽处〔2026〕184号,,,,,,,,,,2026-08-18,,2026-08-20,2026-08-26,仅公告送达/仅文号线索,税务机关官网,已核验,https://fujian.chinatax.gov.cn/fzsswj/xxgk/gsgg/qtl/202608/t20260818_644549.htm,,,"关于送达福州信源行贸易有限责任公司《税务处理决定书》的公告 _
 其他类 _
 国家税务总局福州市税务局",正常,Excel 与 CSV 历史数据已合并核对。
75,CASE-bb526360515ca537,DOC-88d02ecc99e266c8,福建省,福州市,,国家税务总局福州市税务局第一稽查局,国家税务总局福州市税务局第一稽查局,福州元领文化传媒有限公司,91350102MA8U5TKF56,,税务处理决定书,榕税一稽处〔2026〕187号,榕税一稽处〔2026〕187号,榕税一稽罚〔2026〕44号,,,,,,,,,2026-08-17,,2026-08-20,2026-08-26,仅公告送达/仅文号线索,税务机关官网,已核验,https://fujian.chinatax.gov.cn/fzsswj/xxgk/gsgg/qtl/202608/t20260817_644360.htm,,,"关于送达福州元领文化传媒有限公司《税务处理决定书》的公告 _
 其他类 _
 国家税务总局福州市税务局",正常,Excel 与 CSV 历史数据已合并核对。
76,CASE-bb526360515ca537,DOC-2819ad1e60ef897d,福建省,福州市,,国家税务总局福州市税务局第一稽查局,国家税务总局福州市税务局第一稽查局,福州元领文化传媒有限公司,91350102MA8U5TKF56,,税务行政处罚决定书,榕税一稽罚〔2026〕44号,榕税一稽处〔2026〕187号,榕税一稽罚〔2026〕44号,,,,,,,,,2026-08-17,,2026-08-20,2026-08-26,仅公告送达/仅文号线索,税务机关官网,已核验,https://fujian.chinatax.gov.cn/fzsswj/xxgk/gsgg/qtl/202608/t20260817_644361.htm,,,"关于送达福州元领文化传媒有限公司《税务行政处罚决定书》的公告 _
 其他类 _
 国家税务总局福州市税务局",正常,Excel 与 CSV 历史数据已合并核对。
108,CASE-79c11143824d1818,DOC-1737d45ea3f33242,福建省,福州市,,国家税务总局福州市税务局,国家税务总局福州市税务局稽查局,福州濠鸿泰贸易有限公司,,,税务处理决定书,榕税稽处〔2025〕233号,榕税稽处〔2025〕233号,榕税稽罚〔2026〕30号,,,,,,,,,2026-08-17,,2026-08-20,2026-08-26,仅公告送达/仅文号线索,税务机关官网,已核验,https://fujian.chinatax.gov.cn/fzsswj/xxgk/gsgg/qtl/202608/t20260817_644451.htm,,,"关于送达福州濠鸿泰贸易有限公司《税务处理决定书》和《税务行政处罚决定书》的公告 _
 其他类 _
 国家税务总局福州市税务局",正常,Excel 与 CSV 历史数据已合并核对。
77,CASE-79c11143824d1818,DOC-caa6b07410b6e8da,福建省,福州市,,国家税务总局福州市税务局,国家税务总局福州市税务局稽查局,福州濠鸿泰贸易有限公司,,,税务行政处罚决定书,榕税稽罚〔2026〕30号,榕税稽处〔2025〕233号,榕税稽罚〔2026〕30号,,,,,,,,,2026-08-17,,2026-08-20,2026-08-26,仅公告送达/仅文号线索,税务机关官网,已核验,https://fujian.chinatax.gov.cn/fzsswj/xxgk/gsgg/qtl/202608/t20260817_644451.htm,,,"关于送达福州濠鸿泰贸易有限公司《税务处理决定书》和《税务行政处罚决定书》的公告 _
 其他类 _
 国家税务总局福州市税务局",正常,Excel 与 CSV 历史数据已合并核对。
86,CASE-9d77cfe2fa133eb7,DOC-234605cc9dc9baee,辽宁省,大连市,,国家税务总局大连市税务局第一稽查局,国家税务总局大连市税务局第一稽查局,大连盛世东来商贸有限公司,91210213MA0QDMBCXC,,税务处理决定书,大税一稽处〔2026〕57号,大税一稽处〔2026〕57号,,,,,,,,,,2026-08-17,,2026-08-20,2026-08-26,仅公告送达/仅文号线索,税务机关官网,已核验,http://dalian.chinatax.gov.cn/art/2026/8/17/art_1715_707327.html,,,国家税务总局大连市税务局 通知公告 国家税务总局大连市税务局第一稽查局税务文书送达公告(2026年第48号),正常,Excel 与 CSV 历史数据已合并核对。
107,CASE-ff9aad33bbff6744,DOC-b3c61dc5003c1bf9,浙江省,嘉兴市,,国家税务总局浙江省税务局,国家税务总局嘉兴市税务局稽查局,嘉兴韵声贸易有限公司,91330402MAK3DNUU6H,,税务行政处罚决定书,嘉税稽罚〔2026〕72号,,嘉税稽罚〔2026〕72号,,,,,,,,,2026-08-14,,2026-08-20,2026-08-26,仅公告送达/仅文号线索,税务机关官网,已核验,https://zhejiang.chinatax.gov.cn/art/2026/8/14/art_8938_658735.html,https://zhejiang.chinatax.gov.cn/module/download/downfile.jsp?classid=0&filename=0ecf6cbefddb42cfaa70d1c5817db6df.doc,,国家税务总局浙江省税务局 通知公告 国家税务总局嘉兴市税务局稽查局关于送达《税务行政处罚决定书》(嘉税稽罚〔2026〕72号)的公告嘉税稽公告〔2026〕 117号,附件正常,Excel 与 CSV 历史数据已合并核对。
57,CASE-1087c9134b2e2b74,DOC-89ebb1d58a21fdf2,江苏省,无锡市,,国家税务总局江苏省税务局,国家税务总局无锡市税务局稽查局,无锡奋西利科技有限公司,91320205MAK1LYB36M,,税务处理决定书,锡税稽处〔2026〕88号,锡税稽处〔2026〕88号,,,,,,,,,,2026-08-13,,2026-08-15,2026-08-26,仅公告送达/仅文号线索,税务机关官网,已核验,https://jiangsu.chinatax.gov.cn/art/2026/8/13/art_9193_1772056.html,,,国家税务总局江苏省税务局网站 通知公告 国家税务总局无锡市税务局稽查局关于送达税务处理决定书的公告(无锡奋西利科技有限公司、无锡强强运输有限公司、无锡市一川钢业有限公司),正常,Excel 与 CSV 历史数据已合并核对。
59,CASE-9a84367273d6d505,DOC-5bc1377fbd1c9713,江苏省,无锡市,,国家税务总局江苏省税务局,国家税务总局无锡市税务局稽查局,无锡市一川钢业有限公司,,,税务处理决定书,锡税稽处〔2026〕92号,锡税稽处〔2026〕92号,,,,,,,,,,2026-08-13,,2026-08-15,2026-08-26,仅公告送达/仅文号线索,税务机关官网,已核验,https://jiangsu.chinatax.gov.cn/art/2026/8/13/art_9193_1772056.html,,,国家税务总局江苏省税务局网站 通知公告 国家税务总局无锡市税务局稽查局关于送达税务处理决定书的公告(无锡奋西利科技有限公司、无锡强强运输有限公司、无锡市一川钢业有限公司),正常,Excel 与 CSV 历史数据已合并核对。
58,CASE-fc04c1febc98ecaa,DOC-7ad660238df76abf,江苏省,无锡市,,国家税务总局江苏省税务局,国家税务总局无锡市税务局稽查局,无锡强强运输有限公司,91320206089317767Y,,税务处理决定书,锡税稽处〔2026〕89号,锡税稽处〔2026〕89号,,,,,,,,,,2026-08-13,,2026-08-15,2026-08-26,仅公告送达/仅文号线索,税务机关官网,已核验,https://jiangsu.chinatax.gov.cn/art/2026/8/13/art_9193_1772056.html,,,国家税务总局江苏省税务局网站 通知公告 国家税务总局无锡市税务局稽查局关于送达税务处理决定书的公告(无锡奋西利科技有限公司、无锡强强运输有限公司、无锡市一川钢业有限公司),正常,Excel 与 CSV 历史数据已合并核对。
64,CASE-0c69c8123cbaac4c,DOC-724d66baeeb04b82,浙江省,湖州市,,国家税务总局湖州市税务局第一稽查局,国家税务总局湖州市税务局第一稽查局,德清县碳循汽车销售有限公司,91330521MAK5TYR781,,税务处理决定书,湖税一稽处〔2026〕46号,湖税一稽处〔2026〕46号,湖税一稽罚〔2026〕41号,,,,,,,,,2026-08-12,,2026-08-15,2026-08-26,仅公告送达/仅文号线索,税务机关官网,已核验,https://zhejiang.chinatax.gov.cn/art/2026/8/12/art_17823_658580.html,https://zhejiang.chinatax.gov.cn/module/download/downfile.jsp?classid=0&filename=86085ec119fc4d58a9968b3d3f2dfa89.docx,,国家税务总局浙江省税务局 通知公告 关于送达德清县碳循汽车销售有限公司税务处理决定书与税务行政处罚决定书的公告,附件正常,Excel 与 CSV 历史数据已合并核对。
65,CASE-0c69c8123cbaac4c,DOC-d6523554b5d9ed62,浙江省,湖州市,,国家税务总局湖州市税务局第一稽查局,国家税务总局湖州市税务局第一稽查局,德清县碳循汽车销售有限公司,91330521MAK5TYR781,,税务行政处罚决定书,湖税一稽罚〔2026〕41号,湖税一稽处〔2026〕46号,湖税一稽罚〔2026〕41号,,,,,,,,,2026-08-12,,2026-08-15,2026-08-26,仅公告送达/仅文号线索,税务机关官网,已核验,https://zhejiang.chinatax.gov.cn/art/2026/8/12/art_17823_658580.html,https://zhejiang.chinatax.gov.cn/module/download/downfile.jsp?classid=0&filename=d7e63a8854ac45b890247c6670a92a05.docx,,国家税务总局浙江省税务局 通知公告 关于送达德清县碳循汽车销售有限公司税务处理决定书与税务行政处罚决定书的公告,附件正常,Excel 与 CSV 历史数据已合并核对。
78,CASE-a807cfa95fba5759,DOC-78a6bb86b93e9601,福建省,三明市,将乐县,国家税务总局三明市税务局,国家税务总局三明市税务局稽查局,王会兰,,,税务处理决定书,明税稽处〔2026〕3号,明税稽处〔2026〕3号,,"经查,2022年8月你从三明S合伙企业(有限合伙)(以下简称:S合伙企业)购进三明Y合伙企业(有限合伙)(以下简称:Y合伙企业)99.9%的合伙企业份额。 你在合伙企业份额转让过程中通过虚增成本费用,逃避税务机关检查,股权转让收入17450万元,股权转让成本99.9万元,造成少缴纳财产转让个人所得税(174500000-999000)×0.2=34700200元。 ”之规定,对你上述少缴的个人所得税从滞纳之日起至实际缴纳之日止按日加收万分之五的滞纳金。 (三)根据《中华人民共和国税收征收管理法》(2015年4月24日主席令第二十三号修改)第六十三条第一款“纳税人伪造、变造、隐匿、擅自销毁账簿、记账凭证,或者在账簿上多列支出或者不列、少列收入,或者经税务机关通知申报而拒不申报或者进行虚假的纳税申报,不缴或者少缴应纳税款的,是偷税。 对纳税人偷税的,由税务机关追缴其不缴或者少缴的税款、滞纳金,并处不缴或者少缴的税款百分之五十以上五倍以下的罚款; ”之规定,对你多列支出,造成少缴个人所得税34700200元,认定为偷税。",个人所得税,34700200,,,,"我局于2026年7月8日对你作出《税务处理决定书》(明税稽处〔2026〕3号),因无法与你取得联系,无法采用其他送达方式送达税务文书,根据《中华人民共和国税收征收管理法实施细则》第一百零六条规定,将该文书予以公告送达,自公告之日起满30日即视为送达。",,2026-08-12,,2026-08-20,2026-08-26,完整文书,税务机关官网,已核验,https://fujian.chinatax.gov.cn/smsswj/xxgk/sjxxgk/qtgg/202608/t20260812_644035.htm,,,"关于送达王会兰《税务处理决定书》的公告 _
 其他公告 _
 国家税务总局三明市税务局",正常,Excel 与 CSV 历史数据已合并核对。
49,CASE-b9ed0867805f7c84,DOC-71ab3006f89f7e0d,广西壮族自治区,南宁市,,国家税务总局南宁市税务局第三稽查局,国家税务总局南宁市税务局第三稽查局,南宁义战商贸有限公司,91450108MA5KA24XX9,,税务处理决定书,南市税三稽处〔2026〕22号,南市税三稽处〔2026〕22号,,,,,,,,,,2026-08-11,,2026-08-12,2026-08-26,仅公告送达/仅文号线索,税务机关官网,已核验,https://guangxi.chinatax.gov.cn/nanning/xxgk/swjcgg/202608/t20260811_438258.html,https://guangxi.chinatax.gov.cn/nanning/xxgk/swjcgg/202608/P020260811386330634678.doc,,国家税务总局南宁市税务局第三稽查局 税务文书送达公告_国家税务总局南宁市税务局,附件正常,"Excel 与 CSV 历史数据已合并核对。 字段“当事人名称”存在冲突:保留原值“南宁义战商贸有限公司”,新值“南市税稽不罚〔〕号”未静默覆盖。"
50,CASE-d22866aa4c4ada35,DOC-71e977431ec712e6,广西壮族自治区,南宁市,,国家税务总局南宁市税务局第三稽查局,国家税务总局南宁市税务局第三稽查局,横州市润德木业有限公司,91450181MACQW4NT1E,,税务处理决定书,南市税三稽处〔2026〕21号,南市税三稽处〔2026〕21号,,"我局于2024年10月25日至2026年7月13日对你公司(地址:广西横州市云表镇邓圩村委邓村31队旧瓦窑横州市福泽木业有限公司内南面)2023年1月1日至2024年9月30日期间的涉税情况进行了检查,违法事实及处理决定如下: 你公司开具给厦门企磊建筑材料有限公司、厦门翔必达建材有限公司、厦门市为企建材有限公司、厦门木南世佳建材有限公司的发票已经被国家税务总局厦门市税务局第二稽查局认定为虚开发票。 根据横州市公安局对梁继有讯问笔录,梁继有交代其为你公司的实际控制人,承认你公司成立后几乎没有接到生产订单,成立开始便以虚开发票从中抽佣来维持生计,与购买虚开发票的下游企业没有真实的货物交易。 2023年3月,梁继有从广西横县鑫源木业有限公司的法定代表人赵波处知晓虚开发票事宜,为了通过虚开发票获利,从2023年8月起,梁继有先后用其妻子雷金月,其朋友李怀坚,成立了你公司、横州市福泽木业有限公司,以其父亲梁昌艺的名义作为广西万里木业有限公司的法定代表人。 梁继有从每笔虚开发票中获利1个点的利益,并且你公司、横州市福泽木业有限公司、广西万里木业有限公司与下游企业无真实的货物交易。 根据横州市公安局对赵波讯问笔录,赵波交代梁继有曾经向其询问是否有虚开增值税发票的业务可以介绍,后续赵波向梁继有介绍代理记账公司的蒙其梅,由蒙其梅的代理记账公司为上述梁继有实际控制的三家企业代理记账。 部分虚开发票的业务是由赵波介绍中间人黄琦给梁继有,虚开流程为根据梁继有实际控制的三家公司的产能情况来确定虚开金额,黄琦把受票公司的信息提供给梁继有,然后下游公司与梁继有实际控制的三家公司走账,扣除税点后,在通过私人账户回流到黄琦指定的账户。",增值税,,,,,,2026-07-13,2026-08-11,,2026-08-12,2026-08-26,完整文书,税务机关官网,已核验,https://guangxi.chinatax.gov.cn/nanning/xxgk/swjcgg/202608/t20260811_438251.html,https://guangxi.chinatax.gov.cn/nanning/xxgk/swjcgg/202608/P020260811381785307352.docx,,国家税务总局南宁市税务局第三稽查局 税务文书送达公告_国家税务总局南宁市税务局,附件正常,Excel 与 CSV 历史数据已合并核对。
54,CASE-cd924060dd69cca1,DOC-f153bfa08993b578,广西壮族自治区,崇左市,,国家税务总局崇左市税务局第二稽查局,国家税务总局崇左市税务局第二稽查局,龙州聚鑫能源有限公司,91451423MAE03RA73D,,税务处理决定书,崇市税二稽处〔2026〕16号,崇市税二稽处〔2026〕16号,崇市税二稽罚〔2026〕7号,,,,,,,,,2026-08-11,,2026-08-15,2026-08-26,仅公告送达/仅文号线索,税务机关官网,已核验,https://guangxi.chinatax.gov.cn/chongzuo/xxgk_15621/swjcgg/202608/t20260811_438291.html,https://guangxi.chinatax.gov.cn/chongzuo/xxgk_15621/swjcgg/202608/P020260811556600400774.DOC,,国家税务总局崇左市税务局第二稽查局 税务文书送达公告_国家税务总局崇左市税务局,附件正常,Excel 与 CSV 历史数据已合并核对。
55,CASE-cd924060dd69cca1,DOC-0e7b0c13cbc44fd9,广西壮族自治区,崇左市,,国家税务总局崇左市税务局第二稽查局,国家税务总局崇左市税务局第二稽查局,龙州聚鑫能源有限公司,91451423MAE03RA73D,,税务行政处罚决定书,崇市税二稽罚〔2026〕7号,崇市税二稽处〔2026〕16号,崇市税二稽罚〔2026〕7号,,,,,,,,,2026-08-11,,2026-08-15,2026-08-26,仅公告送达/仅文号线索,税务机关官网,已核验,https://guangxi.chinatax.gov.cn/chongzuo/xxgk_15621/swjcgg/202608/t20260811_438291.html,https://guangxi.chinatax.gov.cn/chongzuo/xxgk_15621/swjcgg/202608/P020260811556600432065.doc,,国家税务总局崇左市税务局第二稽查局 税务文书送达公告_国家税务总局崇左市税务局,附件正常,Excel 与 CSV 历史数据已合并核对。
56,CASE-47a5267350adaf61,DOC-29a6a4b16cc528cf,贵州省,贵阳市,,国家税务总局贵阳市税务局第三稽查局,国家税务总局贵阳市税务局第三稽查局,观山湖区麦客餐饮店(个体工商户),,,税务行政处罚决定书,筑税三稽罚〔2026〕40号,,筑税三稽罚〔2026〕40号,,,,,,,,,2026-08-11,,2026-08-15,2026-08-26,仅公告送达/仅文号线索,税务机关官网,已核验,https://guizhou.chinatax.gov.cn/sjpd/gys/tzgg_59631/202608/t20260811_90719800.html,,,国家税务总局贵阳市税务局第三稽查局关于送达税务处理决定书、税务行政处罚决定书的公告,正常,Excel 与 CSV 历史数据已合并核对。
45,CASE-2686be64c7d7fa2b,DOC-89e2e5975f970818,广西壮族自治区,河池市,,国家税务总局河池市税务局第二稽查局,国家税务总局河池市税务局第二稽查局,广西苒炙机械设备有限公司,91451202MAK718N46N,,税务处理决定书,河市税二稽处〔2026〕12号,河市税二稽处〔2026〕12号,河市税二稽罚〔2026〕6号,"经我局于2026年3月24日至2026年5月15日对你公司(地址:河池市金城江区明月路21号幸福嘉园6栋2-108号)2026年01月26日至2026年02月28日期间涉税情况进行检查,你公司存在违法事实及处理决定如下: 你公司存续时间短,开具发票后,直接走逃失踪不进行纳税申报:通过金税三期税收管理系统、增值税发票电子底账系统、广西税务局大数据分析应用集成平台查询,你公司的“申报明细”信息数为“0”,“未申报信息”信息数为“17”,“税款入库信息”信息数为“0”,即:你公司未进行任何纳税申报,无任何税款入库信息。 综合以上调查情况,你公司无实际办公经营场所、无真实货物购进,未向税务机关报备银行存款账号,未进行纳税申报,相关工作人员均无法联系,经公告送达文书后亦无人向税务机关反馈,参照《国家税务总局关于走逃(失联)企业开具增值税专用发票认定处理有关问题的公告》(国家税务总局公告2016年第76号)、《国家税务总局关于走逃(失联)企业涉嫌虚开增值税专用发票检查问题的通知》(税总发〔2016〕172号)规定,认定你公司为走逃失联企业,且无真实办公场所,无真实经营业务。 经核查,你公司已走逃失联,经公告送达文书后亦无公司相关人员联系配合调查,注册地址无实际经营场所,无货物购进发票,开票后已连续多月未进行纳税申报,根据《中华人民共和国发票管理办法》(财政部令第6号发布,国务院令第764号修订)第二十一条第二款第(一)项、《中华人民共和国发票管理办法实施细则》(国家税务总局令第56号)第二十九条第(一)项、参照《国家税务总局关于走逃(失联)企业涉嫌虚开增值税专用发票检查问题的通知》(税总发〔2016〕172号)规定,认定你公司开具的上述53份增值税电子普通发票为虚开。",增值税,,,,,,2026-05-15,2026-08-07,,2026-08-08,2026-08-26,完整文书,税务机关官网,已核验,https://guangxi.chinatax.gov.cn/hechi/tzgg_15562/tzgg_15563/202608/t20260807_438093.html,https://guangxi.chinatax.gov.cn/hechi/tzgg_15562/tzgg_15563/202608/P020260807558407032691.docx,,国家税务总局河池市税务局第二稽查局税务文书送达公告(河市税二稽公告〔2026〕39号)_国家税务总局河池市税务局,附件正常,"Excel 与 CSV 历史数据已合并核对。 字段“主要违法事实”历史冲突已由官方附件复核,保留当前值。 当事人名称经官方原文复核,由“同时,该地址也是广西槟咪科技有限公司”更正为“广西苒炙机械设备有限公司”。 字段“处理或处罚结果”历史冲突已由官方附件复核,保留当前值。 处理文书中的处罚结果串值已根据官方附件清除。"
